[[], {}]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 677742507), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 677742573), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 711072703), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 711072772), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 744401870), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 744401938), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 777730400), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 777730469), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 811060311), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 811060380), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 844386513), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 844386581), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 877715728), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 877715795), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 911046531), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 911046599), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 944375536), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 944375604), 'ipTotalLength': 500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 977703691), 'ipTotalLength': 1500}]]
[[], [{'selectionSequenceId': 16777218, 'observationTimeNanoseconds': (1681723067, 977703760), 'ipTotalLength': 500}]]
